Year,Species,Tonnes,Days,CPUE
1990,Cod,31.69627,1646,0.0192565431348724
1991,Cod,36.2964,1769,0.0205180327868852
1992,Cod,42.697197,1969,0.0216847115286948
1993,Cod,56.76325,2888,0.0196548649584488
1994,Cod,59.447078,3577,0.0166192558009505
1995,Cod,65.12532,3782,0.0172198096245373
1996,Cod,88.91372499,5924,0.0150090690395003
1997,Cod,125.751436,7608,0.0165288427970557
1998,Cod,171.44389,8787,0.0195110834186867
1999,Cod,126.69273,7875,0.0160879657142857
2000,Cod,136.476495,7906,0.0172623950164432
2001,Cod,148.984918,9683,0.0153862354642156
2002,Cod,118.46345,9864,0.0120096766017843
2003,Cod,93.78397501,8710,0.0107673909311137
2004,Cod,51.64695,5994,0.00861644144144144
2005,Cod,49.36484999,6690,0.00737890134379671
2006,Cod,43.80847,5578,0.00785379526712083
2007,Cod,44.97302,5358,0.00839362075401269
2008,Cod,55.93348,4974,0.0112451708886208
2009,Cod,46.54,4931,0.00943824781991482
2010,Cod,33.00272,4224,0.00781314393939394
2011,Cod,39.449906,3958,0.00996713137948459
2012,Cod,28.393337,3339,0.00850354507337526
2013,Cod,33.428956,3800,0.00879709368421053
2014,Cod,32.63774,4133,0.00789686426324704
2015,Cod,34.20892,4390,0.00779246469248292
2016,Cod,30.72963,4422,0.0069492605156038
2017,Cod,32.86271,4836,0.00679543217535153
2018,Cod,20.83414,2937,0.00709368062648962
2019,Cod,16.09392,2580,0.00623795348837209
2020,Cod,10.90626,1747,0.00624285060103034
1990,Coral trout,1292.511708,14207,0.0909771033997325
1991,Coral trout,1480.0782,14019,0.105576588915044
1992,Coral trout,1563.23394,14523,0.107638500309853
1993,Coral trout,1418.05555,17292,0.0820064509599815
1994,Coral trout,1425.92784,19831,0.0719039806363774
1995,Coral trout,1686.08346,21040,0.0801370465779468
1996,Coral trout,1901.14349,26485,0.0717818950349254
1997,Coral trout,1583.545545,29842,0.0530643236043161
1998,Coral trout,1717.70677,29040,0.0591496821625344
1999,Coral trout,1699.46632,27504,0.0617897876672484
2000,Coral trout,1810.73032,28521,0.0634876168437292
2001,Coral trout,2268.30228,36605,0.0619670066930747
2002,Coral trout,2202.48071,39069,0.0563741255215132
2003,Coral trout,1858.25919,35892,0.0517736317285189
2004,Coral trout,1251.55492,22218,0.0563306742281033
2005,Coral trout,1133.71455,18255,0.0621043303204601
2006,Coral trout,1046.5986,16838,0.062156942629766
2007,Coral trout,1125.35198,17522,0.0642250873187992
2008,Coral trout,1224.29248,17215,0.0711177740342724
2009,Coral trout,1123.8228,17039,0.065955912905687
2010,Coral trout,995.554085,16367,0.060826912995662
2011,Coral trout,765.04773,14328,0.053395291038526
2012,Coral trout,817.21943,13887,0.0588478022611075
2013,Coral trout,939.89792,13841,0.0679067928617874
2014,Coral trout,835.70549,13517,0.0618262550861878
2015,Coral trout,811.56724,14218,0.0570802672668448
2016,Coral trout,980.385395,14034,0.0698578733789369
2017,Coral trout,922.44301,12219,0.0754925124805631
2018,Coral trout,829.58629,12383,0.0669939667285795
2019,Coral trout,787.11656,12612,0.0624101300348874
2020,Coral trout,741.01687,9609,0.077116960141534
1990,Crimson Snapper,NaN,NaN,NaN
1991,Crimson Snapper,NaN,NaN,NaN
1992,Crimson Snapper,NaN,NaN,NaN
1993,Crimson Snapper,0.8509,15,0.0567266666666667
1994,Crimson Snapper,2.4576,71,0.0346140845070423
1995,Crimson Snapper,1.987099998,36,0.0551972221666667
1996,Crimson Snapper,22.75855,523,0.0435153919694073
1997,Crimson Snapper,19.4488,532,0.0365578947368421
1998,Crimson Snapper,67.52233,727,0.0928780330123796
1999,Crimson Snapper,50.280113,959,0.052429732012513
2000,Crimson Snapper,33.84409999,910,0.0371913186703297
2001,Crimson Snapper,63.31615004,1136,0.0557360475704225
2002,Crimson Snapper,96.57937,1150,0.0839820608695652
2003,Crimson Snapper,122.36825,941,0.130040648246546
2004,Crimson Snapper,161.51175,753,0.214491035856574
2005,Crimson Snapper,184.85835,760,0.243234671052632
2006,Crimson Snapper,247.0508,766,0.322520626631854
2007,Crimson Snapper,267.5154,984,0.271865243902439
2008,Crimson Snapper,360.0451,1323,0.272142932728647
2009,Crimson Snapper,379.48781,1422,0.266869064697609
2010,Crimson Snapper,296.5713,1137,0.260836675461741
2011,Crimson Snapper,266.0701,1108,0.240135469314079
2012,Crimson Snapper,47.570238,749,0.0635116662216289
2013,Crimson Snapper,39.00321,1043,0.0373952157238734
2014,Crimson Snapper,21.0086,872,0.0240924311926606
2015,Crimson Snapper,117.674466,899,0.13089484538376
2016,Crimson Snapper,25.08235,804,0.0311969527363184
2017,Crimson Snapper,18.7849,894,0.021012192393736
2018,Crimson Snapper,14.42935,910,0.0158564285714286
2019,Crimson Snapper,14.1772,894,0.0158581655480984
2020,Crimson Snapper,17.51235,879,0.0199230375426621
1990,Goldband Snapper,39.78246,610,0.0652171475409836
1991,Goldband Snapper,39.1663,748,0.0523613636363636
1992,Goldband Snapper,46.025353,755,0.0609607324503311
1993,Goldband Snapper,23.842,420,0.0567666666666667
1994,Goldband Snapper,10.6668,357,0.0298789915966387
1995,Goldband Snapper,39.073,598,0.0653394648829432
1996,Goldband Snapper,65.31626,1154,0.0565998786828423
1997,Goldband Snapper,81.26156003,946,0.0859001691649049
1998,Goldband Snapper,203.63935,1799,0.11319585881045
1999,Goldband Snapper,145.291,1544,0.0941003886010363
2000,Goldband Snapper,93.52346001,1109,0.0843313435617674
2001,Goldband Snapper,138.648578,1604,0.0864392630922693
2002,Goldband Snapper,108.02216,1457,0.0741401235415237
2003,Goldband Snapper,73.78886002,1145,0.0644444192314411
2004,Goldband Snapper,82.66583501,1340,0.0616909216492537
2005,Goldband Snapper,84.9826,1559,0.0545109685695959
2006,Goldband Snapper,81.53057,1230,0.0662850162601626
2007,Goldband Snapper,82.90996,1335,0.0621048389513109
2008,Goldband Snapper,88.10061,1400,0.0629290071428572
2009,Goldband Snapper,92.51759,1541,0.0600373718364698
2010,Goldband Snapper,78.67652,1339,0.0587576699029126
2011,Goldband Snapper,78.46338,1124,0.0698072775800712
2012,Goldband Snapper,50.18913,931,0.0539088399570354
2013,Goldband Snapper,57.18216,1127,0.0507383850931677
2014,Goldband Snapper,70.20471,1253,0.0560292976855547
2015,Goldband Snapper,85.72303,1286,0.0666586547433904
2016,Goldband Snapper,63.49648,1189,0.0534032632464256
2017,Goldband Snapper,69.77261,1374,0.0507806477438137
2018,Goldband Snapper,43.1043,1130,0.0381453982300885
2019,Goldband Snapper,50.69416,1151,0.0440435794960904
