Year,Species,Tonnes,Days,CPUE,y,yhat1
1990,Trevallies,1.439264997,19,0.0757507893157895,,
1991,Trevallies,12.1029,158,0.0766006329113924,0.0111564749176125,-0.434394403889073
1992,Trevallies,54.052181,1799,0.0300456814897165,-0.935886399434141,-0.572942923439977
1993,Trevallies,106.0461212,3670,0.0288954008719346,-0.0390364967541386,-0.0593843193286596
1994,Trevallies,99.90768497,3778,0.026444596339333,-0.08863060283183,-0.0252855765615712
1995,Trevallies,125.07017,4241,0.0294907262438104,0.109024009063147,-0.0423866110460516
1996,Trevallies,113.825288,5064,0.0224773475513428,-0.271567822730626,-0.174180218712125
1997,Trevallies,123.61744,6140,0.0201331335504886,-0.110141133341188,-0.0138411670773388
1998,Trevallies,144.287228,7056,0.0204488701814059,0.0155607398751303,-0.00936992373951595
1999,Trevallies,128.107672,6869,0.018650119668074,-0.092075070521628,-0.0752933767934523
2000,Trevallies,122.30216,7124,0.0171676249298147,-0.0828272239900598,-0.0249272687986237
2001,Trevallies,133.441546,7441,0.0179332812793979,0.0436329372617195,-0.00830382863229628
2002,Trevallies,111.897705,7942,0.0140893609921934,-0.24123830284449,-0.0986949081621211
2003,Trevallies,123.908705,8561,0.0144736251606121,0.0269080656644318,0.0734801401371969
2004,Trevallies,163.9276658,9202,0.0178143518582917,0.207676377919707,0.00371912337312752
2005,Trevallies,167.2368475,9128,0.0183213023115688,0.0280600269961973,-0.15692105172703
2006,Trevallies,142.8447778,8780,0.0162693368792711,-0.118782280461793,-0.113600451415514
2007,Trevallies,127.183128,8299,0.0153251148331124,-0.0597891881510524,-0.0342861752792794
2008,Trevallies,108.7759972,7091,0.0153400080665633,0.000971346807943085,0.0484538924450715
2009,Trevallies,134.4300352,7461,0.0180176967162579,0.16089010403251,0.101568607450344
2010,Trevallies,134.9417905,7629,0.017688005046533,-0.0184676969596733,0.0229733989869421
2011,Trevallies,121.640068,6350,0.0191559162204724,0.0797248800676487,0.0976605898203675
2012,Trevallies,83.25254841,5148,0.0161718237004662,-0.16934115874136,0.0486538569552932
2013,Trevallies,102.2965344,5053,0.020244712923016,0.224623219051449,0.184206010380562
2014,Trevallies,97.8080485,5533,0.0176772182360383,-0.135616964001398,0.0218763347892574
2015,Trevallies,88.0781013,5543,0.0158899695652174,-0.10658864003483,-0.0727629790757325
2016,Trevallies,96.0603259,5976,0.0160743517235609,0.0115368758667511,-0.0423788103627363
2017,Trevallies,103.79235,5688,0.0182476002109705,0.126808635021296,0.0799843450213942
2018,Trevallies,125.596656,6891,0.0182261872006966,-0.0011741589921721,-0.00489780447066668
2019,Trevallies,120.6414165,6671,0.0180844575775746,-0.00780654509234679,-0.0865013146138907
2020,Trevallies,102.2431135,5644,0.0181153638377038,0.00170753702257542,-0.0629116415485087
1990,Coral trout,1292.511708,14207,0.0909771033997325,,
1991,Coral trout,1480.0782,14019,0.105576588915044,0.148828786948188,-0.0990491533604405
1992,Coral trout,1563.23394,14523,0.107638500309853,0.0193417424864983,-0.136117848335025
1993,Coral trout,1418.05555,17292,0.0820064509599815,-0.271980478886641,-0.14757592711578
1994,Coral trout,1425.92784,19831,0.0719039806363774,-0.131466287708974,-0.068078970063294
1995,Coral trout,1686.08346,21040,0.0801370465779468,0.108406624541864,-0.0240677339479856
1996,Coral trout,1901.14349,26485,0.0717818950349254,-0.110105965277494,-0.106124107366548
1997,Coral trout,1583.545545,29842,0.0530643236043161,-0.302127455386591,-0.101685522504329
1998,Coral trout,1717.70677,29040,0.0591496821625344,0.1085663864131,0.0324391463536373
1999,Coral trout,1699.46632,27504,0.0617897876672484,0.0436668857104023,0.0111287427353499
2000,Coral trout,1810.73032,28521,0.0634876168437292,0.0271067738407886,0.00103748286611238
